Date,"('Open', 'KLBF.JK')","('High', 'KLBF.JK')","('Low', 'KLBF.JK')","('Close', 'KLBF.JK')","('Volume', 'KLBF.JK')",Next_Day_Close
2021-07-02,1323.2977456229073,1337.425479561942,1313.8792563302177,1318.5885009765625,12907400,1309.169921875
2021-07-05,1318.5884105215828,1337.425387814748,1290.3329445818345,1309.169921875,22506700,1290.3330078125
2021-07-06,1309.1699860287408,1318.5884751368612,1290.3330078125,1290.3330078125,21419400,1276.205322265625
2021-07-07,1295.042301192055,1295.042301192055,1262.0775880708027,1276.205322265625,26750100,1247.94970703125
2021-07-08,1276.2051720961085,1276.2051720961085,1243.2404628537736,1247.94970703125,32821200,1243.2406005859375
2021-07-09,1247.9498452851267,1257.368334683505,1243.2406005859375,1243.2406005859375,19171100,1257.3682861328125
2021-07-12,1252.659041615461,1271.4960196848665,1252.659041615461,1257.3682861328125,34874000,1252.6590576171875
2021-07-13,1262.077546772204,1271.4960359272204,1247.9498130396794,1252.6590576171875,20606700,1285.623779296875
2021-07-14,1257.3683116200207,1290.333023909684,1229.1128439431661,1285.623779296875,34479500,1285.623779296875
2021-07-15,1290.333023909684,1290.333023909684,1266.7868008456387,1285.623779296875,21126700,1309.169921875
2021-07-16,1285.623700258543,1309.169921875,1276.2052116119603,1309.169921875,22813100,1309.169921875
2021-07-19,1309.169921875,1328.0068991681653,1285.623700258543,1309.169921875,24056800,1271.4959716796875
2021-07-21,1309.1699263961227,1313.879170735677,1266.7867273401332,1271.4959716796875,31672600,1276.205322265625
2021-07-22,1271.4960775340176,1280.9145669972324,1271.4960775340176,1276.205322265625,12050700,1266.7867431640625
2021-07-23,1280.9144763592008,1285.6237207575803,1262.0774987656832,1266.7867431640625,17402300,1266.7867431640625
2021-07-26,1271.495987562442,1285.6237207575803,1266.7867431640625,1266.7867431640625,27036000,1262.0775146484375
2021-07-27,1285.6237369366545,1285.6237369366545,1252.6590257331507,1262.0775146484375,23973200,1238.53125
2021-07-28,1262.0774714828897,1266.7867157794676,1233.822005703422,1238.53125,17882100,1219.6943359375
2021-07-29,1238.5313140986968,1243.2405586389962,1219.6943359375,1219.6943359375,39331900,1186.7296142578125
2021-07-30,1229.1128147670202,1238.5313037690662,1186.7296142578125,1186.7296142578125,49489900,1229.1129150390625
2021-08-02,1205.5666906130268,1238.5314048094767,1205.5666906130268,1229.1129150390625,55975500,1238.53125
2021-08-03,1233.822005703422,1252.6589828897338,1233.822005703422,1238.53125,32658700,1229.1129150390625
2021-08-04,1238.5314048094767,1247.9498945798912,1224.4036701538555,1229.1129150390625,16906900,1219.6943359375
2021-08-05,1233.8220695583977,1266.7867813404923,1214.9850913972007,1219.6943359375,33208700,1196.148193359375
2021-08-06,1229.112907349594,1229.112907349594,1196.148193359375,1196.148193359375,38165500,1167.8927001953125
2021-08-09,1224.4036373015372,1224.4036373015372,1167.8927001953125,1167.8927001953125,46508600,1229.1129150390625
2021-08-10,1182.0204661869911,1229.1129150390625,1177.3112213017841,1229.1129150390625,55389800,1214.9852294921875
2021-08-12,1229.1129647188409,1233.822209794392,1196.148249189983,1214.9852294921875,40262100,1224.4036865234375
2021-08-13,1219.6944415752705,1229.1129314716045,1214.9851966271033,1224.4036865234375,22061200,1224.4036865234375
2021-08-16,1229.1129314716045,1229.1129314716045,1205.5667067307693,1224.4036865234375,11843300,1233.8221435546875
2021-08-18,1224.403653909232,1233.8221435546875,1210.2759194410485,1233.8221435546875,25693500,1177.3111572265625
2021-08-19,1224.403603515625,1224.403603515625,1167.89266796875,1177.3111572265625,31387700,1219.6943359375
2021-08-20,1182.020379615106,1224.4035804777993,1177.311135074807,1219.6943359375,23424000,1224.4036865234375
2021-08-23,1200.857461782602,1229.1129314716045,1200.857461782602,1224.4036865234375,22388600,1219.6943359375
2021-08-24,1224.4035804777993,1229.1128250180984,1205.5666023166023,1219.6943359375,23528300,1262.0775146484375
2021-08-25,1229.1128034449334,1262.0775146484375,1214.9850700720033,1262.0775146484375,30449300,1266.7867431640625
2021-08-26,1262.0774987656832,1266.7867431640625,1238.531276773786,1266.7867431640625,23005600,1285.623779296875
2021-08-27,1266.7868008456387,1285.623779296875,1252.6590670072114,1285.623779296875,24342500,1313.8792724609375
2021-08-30,1290.3330489401321,1313.8792724609375,1285.6238042359712,1313.8792724609375,49180500,1266.7867431640625
2021-08-31,1313.8791871478568,1313.8791871478568,1257.3682543673037,1266.7867431640625,93408300,1285.623779296875
2021-09-01,1266.7868008456387,1295.042268522493,1266.7868008456387,1285.623779296875,31866400,1304.4608154296875
2021-09-02,1285.6238361455044,1304.4608154296875,1266.786856861321,1304.4608154296875,11738400,1356.2623291015625
2021-09-03,1304.4606429206,1356.2623291015625,1285.623666127523,1356.2623291015625,49704400,1393.9364013671875
2021-09-06,1356.2624445734798,1408.0641351648278,1332.7162215774124,1393.9364013671875,57271900,1375.099365234375
2021-09-07,1393.9363428403253,1393.9363428403253,1370.3901208328873,1375.099365234375,16775400,1375.099365234375
2021-09-08,1375.099365234375,1379.8086096358627,1328.0069212194992,1375.099365234375,41785000,1403.3548583984375
2021-09-09,1375.0993914508178,1403.3548583984375,1356.2624134857383,1403.3548583984375,42971600,1384.517822265625
2021-09-10,1403.354799439307,1408.0640437327274,1375.099333678784,1384.517822265625,21709100,1384.517822265625
2021-09-13,1375.099333678784,1384.517822265625,1356.262356505102,1384.517822265625,8362500,1393.9364013671875
2021-09-14,1360.9716891726932,1393.9364013671875,1360.9716891726932,1393.9364013671875,23492600,1403.3548583984375
2021-09-15,1393.9363694158976,1403.3548583984375,1365.680902468278,1403.3548583984375,19610700,1356.2623291015625
2021-09-16,1403.3547710842556,1403.3547710842556,1356.2623291015625,1356.2623291015625,24009000,1365.680908203125
